upstox_id,tradingsymbol,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,face_value
BSE_EQ|INE330T01021,HAPPYFORGE,EQUITY,BSE_EQ,HAPPYFORGE,Happy Forgings Limited,27-DEC-2023,INE330T01021,2
BSE_EQ|INE220Q01020,MUFTI,EQUITY,BSE_EQ,MUFTI,Credo Brands Marketing Limited,27-DEC-2023,INE220Q01020,2
BSE_EQ|INE0PEQ01016,RBZJEWEL,EQUITY,BSE_EQ,RBZJEWEL,RBZ Jewellers Limited,27-DEC-2023,INE0PEQ01016,10
BSE_EQ|INE02IJ01035,AZAD,EQUITY,BSE_EQ,AZAD,Azad Engineering Limited,28-DEC-2023,INE02IJ01035,2
BSE_EQ|INE0Q3R01026,SUNCLAY,EQUITY,BSE_EQ,SUNCLAY,Sundaram Clayton Limited,29-DEC-2023,INE0Q3R01026,5
BSE_EQ|INE0DUT01020,INNOVACAP,EQUITY,BSE_EQ,INNOVACAP,Innova Captab Limited,29-DEC-2023,INE0DUT01020,10
BSE_EQ|INE919H01018,IMFA,EQUITY,BSE_EQ,IMFA,Indian Metals & Ferro Alloys Limited,23-JUL-2010,INE919H01018,10
BSE_EQ|INE0PSC01024,DIGIDRIVE,EQUITY,BSE_EQ,DIGIDRIVE,Digidrive Distributors Limited,10-JAN-2024,INE0PSC01024,10
BSE_EQ|INE065J01024,TPHQ,EQUITY,BSE_EQ,TPHQ,Teamo Productions HQ Limited,30-JAN-2009,INE065J01024,1
BSE_EQ|INE456Z01021,MEDIASSIST,EQUITY,BSE_EQ,MEDIASSIST,Medi Assist Healthcare Services Limited,23-JAN-2024,INE456Z01021,5
BSE_EQ|INE0G5901015,EPACK,EQUITY,BSE_EQ,EPACK,EPACK Durable Limited,30-JAN-2024,INE0G5901015,10
BSE_EQ|INE02H701025,NOVAAGRI,EQUITY,BSE_EQ,NOVAAGRI,Nova Agritech Limited,31-JAN-2024,INE02H701025,2
BSE_EQ|INE709A01018,VLSFINANCE,EQUITY,BSE_EQ,VLSFINANCE,VLS Finance Limited,25-MAY-1995,INE709A01018,10
BSE_EQ|INE988S01028,PARKHOTELS,EQUITY,BSE_EQ,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,12-FEB-2024,INE988S01028,1
BSE_EQ|INE0KGZ01021,SIGNPOST,EQUITY,BSE_EQ,SIGNPOST,Signpost India Limited,14-FEB-2024,INE0KGZ01021,2
BSE_EQ|INE953L01027,JSFB,EQUITY,BSE_EQ,JSFB,Jana Small Finance Bank Limited,14-FEB-2024,INE953L01027,10
BSE_EQ|INE0J1F01024,RPTECH,EQUITY,BSE_EQ,RPTECH,Rashi Peripherals Limited,14-FEB-2024,INE0J1F01024,5
BSE_EQ|INE646H01017,CAPITALSFB,EQUITY,BSE_EQ,CAPITALSFB,Capital Small Finance Bank Limited,14-FEB-2024,INE646H01017,10
BSE_EQ|INE010601016,ENTERO,EQUITY,BSE_EQ,ENTERO,Entero Healthcare Solutions Limited,16-FEB-2024,INE010601016,10
BSE_EQ|INE0QTF01015,VSTL,EQUITY,BSE_EQ,VSTL,Vibhor Steel Tubes Limited,20-FEB-2024,INE0QTF01015,10
BSE_EQ|INE486R01017,GPTHEALTH,EQUITY,BSE_EQ,GPTHEALTH,GPT Healthcare Limited,29-FEB-2024,INE486R01017,10
BSE_EQ|INE777F01014,EXICOM,EQUITY,BSE_EQ,EXICOM,Exicom Tele-Systems Limited,05-MAR-2024,INE777F01014,10
BSE_EQ|INE0PT501018,PLATIND,EQUITY,BSE_EQ,PLATIND,Platinum Industries Limited,05-MAR-2024,INE0PT501018,10
BSE_EQ|INE0NQ801033,RKSWAMY,EQUITY,BSE_EQ,RKSWAMY,R K Swamy Limited,12-MAR-2024,INE0NQ801033,5
BSE_EQ|INE0MB501011,JGCHEM,EQUITY,BSE_EQ,JGCHEM,J.G.Chemicals Limited,13-MAR-2024,INE0MB501011,10
BSE_EQ|INE0L9R01028,GOPAL,EQUITY,BSE_EQ,GOPAL,Gopal Snacks Limited,14-MAR-2024,INE0L9R01028,1
BSE_EQ|INE0PB301013,SCILAL,EQUITY,BSE_EQ,SCILAL,Shipping Corporation of India Land and Assets Limited,19-MAR-2024,INE0PB301013,10
BSE_EQ|INE772T01024,PVSL,EQUITY,BSE_EQ,PVSL,Popular Vehicles and Services Limited,19-MAR-2024,INE772T01024,2
