upstox_id,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,id,market_cap
NSE_EQ|INE542Z01010,EQUITY,NSE_EQ,KAPSTON,Kapston Services Limited,2020-05-27,INE542Z01010,46ac055c-aff0-4ad2-806c-fac25fc8fea9,0
NSE_EQ|INE725L01011,EQUITY,NSE_EQ,KARMAENG,Karma Energy Limited,2011-06-28,INE725L01011,8bf78448-aa75-423a-a04e-0bba4eedaf17,0
NSE_EQ|INE036D01028,EQUITY,NSE_EQ,KARURVYSYA,Karur Vysya Bank Limited,2000-07-26,INE036D01028,6949606a-fec1-442e-b4ff-2416d244ebaf,0
NSE_EQ|INE234I01028,EQUITY,NSE_EQ,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,2007-12-14,INE234I01028,1ab22c02-1b51-4846-8dc7-157e003ae495,0
NSE_EQ|INE641C01019,EQUITY,NSE_EQ,KAVVERITEL,Kavveri Telecom Products Limited,2008-01-29,INE641C01019,762157f2-9cf9-48ff-906b-b5503be32f12,0
NSE_EQ|INE587G01015,EQUITY,NSE_EQ,KAYA,Kaya Limited,2015-08-14,INE587G01015,ff1e222e-59d7-4652-a6a9-1b7965e52312,0
NSE_EQ|INE918Z01012,EQUITY,NSE_EQ,KAYNES,Kaynes Technology India Limited,2022-11-22,INE918Z01012,bbd35c54-a329-4081-9f23-cb2dec5557ed,0
NSE_EQ|INE278R01034,EQUITY,NSE_EQ,KBCGLOBAL,KBC Global Limited,2018-04-02,INE278R01034,149401b2-961d-4355-98d6-5fb43cdb67d1,0
NSE_EQ|INE805C01028,EQUITY,NSE_EQ,KCP,KCP Limited,1997-04-09,INE805C01028,44181462-ea31-4245-b734-7c4c2c706588,0
NSE_EQ|INE790B01024,EQUITY,NSE_EQ,KCPSUGIND,KCP Sugar and Industries Corporation Limited,1997-06-11,INE790B01024,6f6da4d7-c368-4ce9-9305-3112692cc334,0
NSE_EQ|INE291D01011,EQUITY,NSE_EQ,KDDL,KDDL Limited,2016-03-23,INE291D01011,32f08536-75a7-4996-ba11-f943f48406fa,0
NSE_EQ|INE389H01022,EQUITY,NSE_EQ,KEC,KEC International Limited,2006-03-10,INE389H01022,22e7c59c-852e-4d56-b230-50ca92756c2c,0
NSE_EQ|INE134B01017,EQUITY,NSE_EQ,KECL,Kirloskar Electric Company Limited,2010-03-09,INE134B01017,225d746d-19c1-4597-ad66-eaddae70c5da,0
NSE_EQ|INE055C01020,EQUITY,NSE_EQ,KEEPLEARN,DSJ Keep Learning Limited,1995-03-01,INE055C01020,c66b7198-6bf3-4cfd-8bdf-ced649f88ed2,0
NSE_EQ|INE878B01027,EQUITY,NSE_EQ,KEI,KEI Industries Limited,2006-03-23,INE878B01027,8025fcaf-049b-43c8-8adc-a0bd4b074759,0
NSE_EQ|INE164B01022,EQUITY,NSE_EQ,KELLTONTEC,Kellton Tech Solutions Limited,2016-03-02,INE164B01022,96f4672d-c60e-49c0-85e6-68fe4d63bd47,0
NSE_EQ|INE202H01019,EQUITY,NSE_EQ,KERNEX,Kernex Microsystems (India) Limited,2005-12-20,INE202H01019,80222d5b-5ddb-4d40-bed8-9edd0749e1be,0
NSE_EQ|INE087A01019,EQUITY,NSE_EQ,KESORAMIND,Kesoram Industries Limited,1995-09-06,INE087A01019,75708baa-3af2-4d33-ae9f-47ad727c9b0b,0
NSE_EQ|INE681C01015,EQUITY,NSE_EQ,KEYFINSERV,Keynote Financial Services Limited,1996-06-26,INE681C01015,97766a87-8d0d-4466-8622-9c375086cd0d,0
NSE_EQ|INE138Y01010,EQUITY,NSE_EQ,KFINTECH,Kfin Technologies Limited,2022-12-29,INE138Y01010,32248b8c-1527-4993-b81e-c1af5d3b1351,0
NSE_EQ|INE834I01025,EQUITY,NSE_EQ,KHADIM,Khadim India Limited,2017-11-14,INE834I01025,bab66590-44da-43dc-9ffa-f77b310251f2,0
NSE_EQ|INE745B01028,EQUITY,NSE_EQ,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,2020-10-30,INE745B01028,85d3c9c7-4716-48a7-af3b-2e910c85c41c,0
NSE_EQ|INE731C01018,EQUITY,NSE_EQ,KHAITANLTD,Khaitan (India) Limited,1995-12-20,INE731C01018,fa7b5245-10a6-469a-842c-d72c0e4e841f,0
NSE_EQ|INE060B01014,EQUITY,NSE_EQ,KHANDSE,Khandwala Securities Limited,2001-02-07,INE060B01014,6bd78bbc-ae18-42d7-882a-28444e57c090,0
NSE_EQ|INE029L01018,EQUITY,NSE_EQ,KICL,Kalyani Investment Company Limited,2011-01-14,INE029L01018,75c5e66e-d8f0-46ef-8a20-e4c8dd297a88,0
NSE_EQ|INE729D01010,EQUITY,NSE_EQ,KILITCH,Kilitch Drugs (India) Limited,2010-09-29,INE729D01010,881d489b-42d4-4ac9-b9d6-6e8764d38be7,0
NSE_EQ|INE967H01017,EQUITY,NSE_EQ,KIMS,Krishna Institute of Medical Sciences Limited,2021-06-28,INE967H01017,006736fd-43ba-439a-ab00-f093fe6f0494,0
NSE_EQ|INE473D01015,EQUITY,NSE_EQ,KINGFA,Kingfa Science & Technology (India) Limited,2016-11-15,INE473D01015,89e91435-4625-4abd-b67e-b8e81cec8ae2,0
NSE_EQ|INE880L01014,EQUITY,NSE_EQ,KIOCL,KIOCL Limited,2016-11-29,INE880L01014,21321a6d-764c-4ceb-96e6-0640a4655b63,0
NSE_EQ|INE415I01015,EQUITY,NSE_EQ,KIRIINDUS,Kiri Industries Limited,2008-04-22,INE415I01015,f05f8139-ecf7-4b50-b403-4adc33627eba,0
NSE_EQ|INE732A01036,EQUITY,NSE_EQ,KIRLOSBROS,Kirloskar Brothers Limited,2010-04-20,INE732A01036,7b83269d-dd94-4949-9975-f4b6642f75f1,0
NSE_EQ|INE146L01010,EQUITY,NSE_EQ,KIRLOSENG,Kirloskar Oil Engines Limited,2010-12-24,INE146L01010,89892585-4939-4683-a7bc-69a174732465,0
NSE_EQ|INE250A01039,EQUITY,NSE_EQ,KIRLOSIND,Kirloskar Industries Limited,2010-06-24,INE250A01039,84754073-a960-48cd-8c02-5fc4834f0c9e,0
NSE_EQ|INE811A01020,EQUITY,NSE_EQ,KIRLPNU,Kirloskar Pneumatic Company Limited,2023-04-26,INE811A01020,eadd8f40-0660-4d28-9087-d3f76bde73a3,0
NSE_EQ|INE602G01020,EQUITY,NSE_EQ,KITEX,Kitex Garments Limited,2012-09-25,INE602G01020,e139c29c-64f7-4491-a2cc-922909c37669,0
NSE_EQ|INE401H01017,EQUITY,NSE_EQ,KKCL,Kewal Kiran Clothing Limited,2006-04-13,INE401H01017,b6919042-f94d-4096-945f-66be47ff78a8,0
NSE_EQ|INE157H01023,EQUITY,NSE_EQ,KMSUGAR,K.M.Sugar Mills Limited,2007-05-31,INE157H01023,2b6429e8-0084-4e85-bbd0-9822ce873e3d,0
NSE_EQ|INE634I01029,EQUITY,NSE_EQ,KNRCON,KNR Constructions Limited,2008-02-18,INE634I01029,ffd8aa22-5145-4cf2-99ea-d095ba9fa7a6,0
NSE_EQ|INE080B01012,EQUITY,NSE_EQ,KOHINOOR,Kohinoor Foods Limited,1999-10-20,INE080B01012,e2598be8-3aea-4f42-b326-8600654f0f9e,0
NSE_EQ|INE760A01029,EQUITY,NSE_EQ,KOKUYOCMLN,Kokuyo Camlin Limited,2008-07-28,INE760A01029,2ff2a6b1-1d3c-4adb-a89e-86c4630d98ff,0
NSE_EQ|INE094I01018,EQUITY,NSE_EQ,KOLTEPATIL,Kolte - Patil Developers Limited,2007-12-13,INE094I01018,bf815045-f264-41df-8639-be725da0053b,0
NSE_EQ|INE082A01010,EQUITY,NSE_EQ,KOPRAN,Kopran Limited,1999-06-09,INE082A01010,aab76d80-ee2c-45a3-889f-e9d76060b556,0
NSE_EQ|INE237A01028,EQUITY,NSE_EQ,KOTAKBANK,Kotak Mahindra Bank Limited,1995-12-20,INE237A01028,3cb2379d-9c03-4d19-941a-ba88ec2eec78,0
NSE_EQ|INE419A01022,EQUITY,NSE_EQ,KOTARISUG,Kothari Sugars And Chemicals Limited,2004-12-13,INE419A01022,2d24f804-c253-4f92-92a3-bfb9c286f060,0
NSE_EQ|INE720A01015,EQUITY,NSE_EQ,KOTHARIPET,Kothari Petrochemicals Limited,1996-11-02,INE720A01015,4d19a2f9-6276-46b7-ba7f-d6e58655df18,0
NSE_EQ|INE823A01017,EQUITY,NSE_EQ,KOTHARIPRO,Kothari Products Limited,1998-06-03,INE823A01017,ea7fc2a3-bafd-4374-aa29-7b8e8a688ead,0
NSE_EQ|INE542W01017,EQUITY,NSE_EQ,KPIGREEN,KPI Green Energy Limited,2021-07-27,INE542W01017,fdc44595-75a3-4eeb-9cb8-11b421cf01b9,0
NSE_EQ|INE220B01022,EQUITY,NSE_EQ,KPIL,Kalpataru Projects International Limited,2000-12-15,INE220B01022,41b3d6b5-78d6-4c47-b6ce-a365378509c2,0
NSE_EQ|INE04I401011,EQUITY,NSE_EQ,KPITTECH,KPIT Technologies Limited,2019-04-22,INE04I401011,c3e6d1fa-1a91-4d75-ba82-9177de24e1e7,0
NSE_EQ|INE930H01031,EQUITY,NSE_EQ,KPRMILL,K.P.R. Mill Limited,2007-08-28,INE930H01031,c170ee8e-653c-4572-a239-463b37244f93,0
NSE_EQ|INE001B01026,EQUITY,NSE_EQ,KRBL,KRBL Limited,2002-01-21,INE001B01026,15ad925f-c8c9-4d17-a154-cc0ee3933f2a,0
NSE_EQ|INE268B01013,EQUITY,NSE_EQ,KREBSBIO,Krebs Biochemicals and Industries Limited,1996-01-03,INE268B01013,678b774f-82a9-439b-81d9-797b6f4914c7,0
NSE_EQ|INE524L01026,EQUITY,NSE_EQ,KRIDHANINF,Kridhan Infra Limited,2015-12-11,INE524L01026,401f93d9-3486-47b4-8610-33ebf219fa50,0
NSE_EQ|INE506W01012,EQUITY,NSE_EQ,KRISHANA,Krishana Phoschem Limited,2019-08-22,INE506W01012,c4f74935-9b5e-47b1-b315-fd66112ec853,0
NSE_EQ|INE479D01038,EQUITY,NSE_EQ,KRITI,Kriti Industries (India) Limited,2021-11-01,INE479D01038,eb694f17-a693-4cb8-bbe6-299a3aa5d070,0
NSE_EQ|INE00Z501029,EQUITY,NSE_EQ,KRITIKA,Kritika Wires Limited,2022-05-04,INE00Z501029,579d0b82-908b-4a56-a09b-fe3ac7961654,0
NSE_EQ|INE798K01010,EQUITY,NSE_EQ,KRITINUT,Kriti Nutrients Limited,2022-10-07,INE798K01010,d9a83595-59bb-4201-8a74-38cea2760444,0
NSE_EQ|INE08LI01020,EQUITY,NSE_EQ,KRSNAA,Krsnaa Diagnostics Limited,2021-08-16,INE08LI01020,300a9a4d-f5be-4b36-895d-8452d40fdf12,0
NSE_EQ|INE0QN801017,EQUITY,NSE_EQ,KRYSTAL,Krystal Integrated Services Limited,2024-03-21,INE0QN801017,ed04dff6-340c-4024-a34b-36b609ffcd84,0
NSE_EQ|INE999A01015,EQUITY,NSE_EQ,KSB,Ksb Limited,1995-02-08,INE999A01015,d78db21e-f1fa-4ef3-9f40-48260cb86626,0
NSE_EQ|INE455I01029,EQUITY,NSE_EQ,KSCL,Kaveri Seed Company Limited,2007-10-04,INE455I01029,75dcd256-2e87-4f83-8201-5c221d2f969e,0
NSE_EQ|INE013801027,EQUITY,NSE_EQ,KSHITIJPOL,Kshitij Polyline Limited,2022-07-27,INE013801027,132558a6-65d3-4379-b47b-991de51f92db,0
NSE_EQ|INE907A01026,EQUITY,NSE_EQ,KSL,Kalyani Steels Limited,2010-05-19,INE907A01026,2a3424ad-8058-4d26-9522-60e18f2e7be5,0
NSE_EQ|INE0D6I01015,EQUITY,NSE_EQ,KSOLVES,Ksolves India Limited,2022-09-23,INE0D6I01015,06bb6ada-482b-40a0-a134-32cbbdf6ea06,0
NSE_EQ|INE614B01018,EQUITY,NSE_EQ,KTKBANK,The Karnataka Bank Limited,2000-05-10,INE614B01018,dc3921af-aefc-460f-a84d-1bb312489eb1,0
NSE_EQ|INE529I01021,EQUITY,NSE_EQ,KUANTUM,Kuantum Papers Limited,2019-10-23,INE529I01021,4bb08719-78bb-4c0c-92bb-19a032a50bc0,0
NSE_EQ|INE548Z01017,EQUITY,NSE_EQ,LAGNAM,Lagnam Spintex Limited,2021-09-30,INE548Z01017,f4ba2764-d413-444b-be09-bddf991db6df,0
NSE_EQ|INE651C01018,EQUITY,NSE_EQ,LAKPRE,Lakshmi Precision Screws Limited,2006-09-26,INE651C01018,2be1561c-9a18-4525-bdbf-a4dc49db2700,0
NSE_EQ|INE740X01023,EQUITY,NSE_EQ,LAL,Lorenzini Apparels Limited,2023-04-10,INE740X01023,dd82f915-3b76-4930-95e1-2b3337fc42db,0
NSE_EQ|INE600L01024,EQUITY,NSE_EQ,LALPATHLAB,Dr. Lal Path Labs Ltd.,2015-12-23,INE600L01024,7167a67b-8cb6-4152-9ef5-9f1b60ac754e,0
NSE_EQ|INE112F01022,EQUITY,NSE_EQ,LAMBODHARA,Lambodhara Textiles Limited,2015-02-04,INE112F01022,068e2dfd-d4c5-443f-9542-8913f05e7cb1,0
NSE_EQ|INE572G01025,EQUITY,NSE_EQ,LANCORHOL,Lancor Holdings Limited,2024-03-12,INE572G01025,79c2cfc4-d28f-4b4b-91a8-3ac172842472,0
NSE_EQ|INE559R01029,EQUITY,NSE_EQ,LANDMARK,Landmark Cars Limited,2022-12-23,INE559R01029,014b05b0-8292-4701-a291-3fb2851afefb,0
NSE_EQ|INE059D01020,EQUITY,NSE_EQ,LAOPALA,La Opala RG Limited,2007-03-16,INE059D01020,337854ab-f2be-436c-9ae8-c3aef0a36fd6,0
NSE_EQ|INE670X01014,EQUITY,NSE_EQ,LASA,Lasa Supergenerics Limited,2017-09-21,INE670X01014,14be75bf-601d-471e-b85d-b44ac2aec89f,0
NSE_EQ|INE0I7C01011,EQUITY,NSE_EQ,LATENTVIEW,Latent View Analytics Limited,2021-11-23,INE0I7C01011,13cbbf81-ee99-4789-8936-b0f36fa75253,0
NSE_EQ|INE262Z01023,EQUITY,NSE_EQ,LATTEYS,Latteys Industries Limited,2023-05-23,INE262Z01023,35c3d9f1-f7e7-44d0-b051-051ff4a11eee,0
NSE_EQ|INE947Q01028,EQUITY,NSE_EQ,LAURUSLABS,Laurus Labs Limited,2016-12-19,INE947Q01028,5c4e0889-480c-466a-9756-63cc1d3082f5,0
NSE_EQ|INE801V01019,EQUITY,NSE_EQ,LAXMICOT,Laxmi Cotspin Limited,2021-11-12,INE801V01019,81dd40f6-4ce1-4670-8b4a-ad685e3fb329,0
NSE_EQ|INE269B01029,EQUITY,NSE_EQ,LAXMIMACH,Lakshmi Machine Works Limited,1995-03-29,INE269B01029,c23aee3a-ba16-498d-8b38-dbdb54892ad3,0
NSE_EQ|INE938A01021,EQUITY,NSE_EQ,LCCINFOTEC,LCC Infotech Limited,2000-03-02,INE938A01021,87334005-4fe0-4b1f-b0c3-ad5400d48627,0
NSE_EQ|INE970X01018,EQUITY,NSE_EQ,LEMONTREE,Lemon Tree Hotels Limited,2018-04-09,INE970X01018,5678ea2b-afe0-413d-a427-58f69d017dce,0
NSE_EQ|INE500X01013,EQUITY,NSE_EQ,LEXUS,Lexus Granito (India) Limited,2023-03-13,INE500X01013,9b73af93-786d-49b3-9587-776098349bb9,0
NSE_EQ|INE850E01012,EQUITY,NSE_EQ,LFIC,Lakshmi Finance & Industrial Corporation Limited,2015-04-15,INE850E01012,144d7508-ecfe-45d9-801d-9d079e67e51d,0
NSE_EQ|INE337A01034,EQUITY,NSE_EQ,LGBBROSLTD,LG Balakrishnan & Bros Limited,2010-03-30,INE337A01034,29784ff8-b3e0-4418-8810-e11436f0208d,0
NSE_EQ|INE201J01017,EQUITY,NSE_EQ,LGBFORGE,LGB Forge Limited,2008-08-01,INE201J01017,c12d0f73-9d42-4aff-8b0d-9c08839e65ce,0
NSE_EQ|INE258Y01016,EQUITY,NSE_EQ,LGHL,Laxmi Goldorna House Limited,2023-11-10,INE258Y01016,801df447-acd3-49cb-abdf-476781451ca7,0
NSE_EQ|INE908V01012,EQUITY,NSE_EQ,LIBAS,Libas Consumer Products Limited,2019-07-23,INE908V01012,e24a4fe4-ccda-4c4d-b0bf-be8ff2016a70,0
NSE_EQ|INE557B01019,EQUITY,NSE_EQ,LIBERTSHOE,Liberty Shoes Limited,1995-09-27,INE557B01019,f53f761b-19c9-4aae-ba13-9c22c0a5b8e1,0
NSE_EQ|INE115A01026,EQUITY,NSE_EQ,LICHSGFIN,LIC Housing Finance Limited,1998-07-29,INE115A01026,b51f7e3c-84de-472f-80a3-9a1dc6300b69,0
NSE_EQ|INE0J1Y01017,EQUITY,NSE_EQ,LICI,Life Insurance Corporation Of India,2022-05-17,INE0J1Y01017,b7b7c778-3bc5-4c65-9a6b-f11a11a8e4bd,0
NSE_EQ|INE060901027,EQUITY,NSE_EQ,LIKHITHA,Likhitha Infrastructure Limited,2020-10-15,INE060901027,acaa5f51-6f8e-4a08-a1bd-286202283658,0
NSE_EQ|INE802B01019,EQUITY,NSE_EQ,LINC,Linc Limited,2015-03-09,INE802B01019,def12d3f-3570-4263-b86b-cf00d6d5f4f4,0
NSE_EQ|INE405C01035,EQUITY,NSE_EQ,LINCOLN,Lincoln Pharmaceuticals Limited,2015-12-17,INE405C01035,c0fe9c2f-57a0-4c9d-a51e-09fb9ca8095f,0
NSE_EQ|INE473A01011,EQUITY,NSE_EQ,LINDEINDIA,Linde India Limited,1999-06-16,INE473A01011,38afafd9-4cbd-4be1-be9f-f0dc10959f95,0
